PopName,Area,Year,YearReg,Age,AgeInt,Lexis,BirthOrder,OrderInt,PrevBirth,DurInt,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
SWE,1,1794,1794,TOT,.,.,TOT,.,.,.,2,77462,O,.,.,.,11,0
SWE,1,1795,1795,19,-,RR,TOT,.,.,.,2,1789,O,.,.,.,11,0
SWE,1,1795,1795,20,5,RR,TOT,.,.,.,2,10588,O,.,.,.,11,0
SWE,1,1795,1795,25,5,RR,TOT,.,.,.,2,18929,O,.,.,.,11,0
SWE,1,1795,1795,30,5,RR,TOT,.,.,.,2,19516,O,.,.,.,11,0
SWE,1,1795,1795,35,5,RR,TOT,.,.,.,2,13705,O,.,.,.,11,0
SWE,1,1795,1795,40,5,RR,TOT,.,.,.,2,6959,O,.,.,.,11,0
SWE,1,1795,1795,45,5,RR,TOT,.,.,.,2,1240,O,.,.,.,11,0
SWE,1,1795,1795,50,+,RR,TOT,.,.,.,2,21,O,.,.,.,11,0
SWE,1,1795,1795,UNK,.,.,TOT,.,.,.,2,1029,O,.,.,.,11,0
SWE,1,1795,1795,TOT,.,.,TOT,.,.,.,2,73776,O,.,.,.,11,0
SWE,1,1796,1796,19,-,RR,TOT,.,.,.,2,2064,O,.,.,.,11,0
SWE,1,1796,1796,20,5,RR,TOT,.,.,.,2,11726,O,.,.,.,11,0
SWE,1,1796,1796,25,5,RR,TOT,.,.,.,2,20309,O,.,.,.,11,0
SWE,1,1796,1796,30,5,RR,TOT,.,.,.,2,21200,O,.,.,.,11,0
SWE,1,1796,1796,35,5,RR,TOT,.,.,.,2,15073,O,.,.,.,11,0
SWE,1,1796,1796,40,5,RR,TOT,.,.,.,2,7149,O,.,.,.,11,0
SWE,1,1796,1796,45,5,RR,TOT,.,.,.,2,1438,O,.,.,.,11,0
SWE,1,1796,1796,50,+,RR,TOT,.,.,.,2,19,O,.,.,.,11,0
SWE,1,1796,1796,UNK,.,.,TOT,.,.,.,2,1330,O,.,.,.,11,0
